IP;United_States_West;United_States_East;United_Kingdom;Australia;France;South_Korea;Japan;Spain;Italy;Brazil;Canada_West;Canada_East;Germany_West;Germany_East;Poland;Russian;Sweden;Turkey
52.223.226.251;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.107;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.244.242;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.150;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.246.12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.102;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
99.181.65.12;1;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;0;1
52.223.244.137;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.186;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.97;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.59;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.108;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.248.235;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
192.16.65.145;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.228.26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.84;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.123;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.244.245;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.101;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.114;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.228.93;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.200;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.89;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.101;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.107;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.109;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.103;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.119;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.144;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
